Order,Year,Month,Tag,Pre
554,1947,2,194702,538
555,1947,3,194703,1134
556,1947,4,194704,1729
557,1947,5,194705,2617
558,1947,6,194706,3826
559,1947,7,194707,2075
560,1947,8,194708,2103
561,1947,9,194709,1695
562,1947,10,194710,302
563,1947,11,194711,263
564,1947,12,194712,212
565,1948,1,194801,241
566,1948,2,194802,520
567,1948,3,194803,1312
568,1948,4,194804,1914
569,1948,5,194805,2530
570,1948,6,194806,2970
571,1948,7,194807,2439
572,1948,8,194808,2087
573,1948,9,194809,1393
574,1948,10,194810,611
575,1948,11,194811,172
576,1948,12,194812,523
577,1949,1,194901,89
578,1949,2,194902,1188
579,1949,3,194903,745
580,1949,4,194904,1539
581,1949,5,194905,2157
582,1949,6,194906,4237
583,1949,7,194907,1390
584,1949,8,194908,2201
585,1949,9,194909,1431
586,1949,10,194910,577
587,1949,11,194911,816
588,1949,12,194912,401
589,1950,1,195001,484
590,1950,2,195002,365
591,1950,3,195003,740
592,1950,4,195004,1953
593,1950,5,195005,3303
594,1950,6,195006,3037
595,1950,7,195007,1298
596,1950,8,195008,2822
597,1950,9,195009,1553
598,1950,10,195010,372
599,1950,11,195011,871
600,1950,12,195012,128
601,1951,1,195101,485
602,1951,2,195102,394
603,1951,3,195103,1632
604,1951,4,195104,2571
605,1951,5,195105,2034
606,1951,6,195106,3840
607,1951,7,195107,1296
608,1951,8,195108,2360
609,1951,9,195109,1708
610,1951,10,195110,794
611,1951,11,195111,1208
612,1951,12,195112,319
613,1952,1,195201,212
614,1952,2,195202,598
615,1952,3,195203,1206
616,1952,4,195204,2402
617,1952,5,195205,2783
618,1952,6,195206,2616
619,1952,7,195207,2392
620,1952,8,195208,2976
621,1952,9,195209,1844
622,1952,10,195210,358
623,1952,11,195211,20
624,1952,12,195212,310
625,1953,1,195301,736
626,1953,2,195302,943
627,1953,3,195303,1631
628,1953,4,195304,1549
629,1953,5,195305,3989
630,1953,6,195306,2443
631,1953,7,195307,855
632,1953,8,195308,1617
633,1953,9,195309,2509
634,1953,10,195310,681
635,1953,11,195311,519
636,1953,12,195312,1181
637,1954,1,195401,333
638,1954,2,195402,439
639,1954,3,195403,521
640,1954,4,195404,3425
641,1954,5,195405,3017
642,1954,6,195406,2802
643,1954,7,195407,605
644,1954,8,195408,2838
645,1954,9,195409,1012
646,1954,10,195410,211
647,1954,11,195411,323
648,1954,12,195412,156
649,1955,1,195501,80
650,1955,2,195502,165
651,1955,3,195503,902
652,1955,4,195504,392
653,1955,5,195505,3710
654,1955,6,195506,3351
655,1955,7,195507,3137
656,1955,8,195508,2348
657,1955,9,195509,1361
658,1955,10,195510,111
659,1955,11,195511,273
660,1955,12,195512,158
661,1956,1,195601,290
662,1956,2,195602,944
663,1956,3,195603,615
664,1956,4,195604,1077
665,1956,5,195605,2766
666,1956,6,195606,2663
667,1956,7,195607,1098
668,1956,8,195608,1644
669,1956,9,195609,530
670,1956,10,195610,143
671,1956,11,195611,506
672,1956,12,195612,290
673,1957,1,195701,203
674,1957,2,195702,1189
675,1957,3,195703,1867
676,1957,4,195704,1365
677,1957,5,195705,3745
678,1957,6,195706,3614
679,1957,7,195707,1367
680,1957,8,195708,2871
681,1957,9,195709,1402
682,1957,10,195710,957
683,1957,11,195711,317
684,1957,12,195712,223
685,1958,1,195801,544
686,1958,2,195802,1044
687,1958,3,195803,765
688,1958,4,195804,721
689,1958,5,195805,1862
690,1958,6,195806,2685
691,1958,7,195807,1890
692,1958,8,195808,892
693,1958,9,195809,1763
694,1958,10,195810,171
695,1958,11,195811,9
696,1958,12,195812,83
697,1959,1,195901,128
698,1959,2,195902,1615
699,1959,3,195903,1680
700,1959,4,195904,1328
701,1959,5,195905,4174
702,1959,6,195906,4560
703,1959,7,195907,1728
704,1959,8,195908,3077
705,1959,9,195909,1457
706,1959,10,195910,91
707,1959,11,195911,116
708,1959,12,195912,622
709,1960,1,196001,267
710,1960,2,196002,66
711,1960,3,196003,1439
712,1960,4,196004,837
713,1960,5,196005,2561
714,1960,6,196006,1720
715,1960,7,196007,1907
716,1960,8,196008,3490
717,1960,9,196009,1428
718,1960,10,196010,475
719,1960,11,196011,682
720,1960,12,196012,281
721,1961,1,196101,127
722,1961,2,196102,816
723,1961,3,196103,911
724,1961,4,196104,3349
725,1961,5,196105,1451
726,1961,6,196106,2711
727,1961,7,196107,2510
728,1961,8,196108,3333
729,1961,9,196109,3336
