No,Sp,Species,Survival,num_seeds,Block,Pot,Pot,Raintype,Density,Composition,Culture,n_BIPI,n_OPCO,n_PHAN,n_DAAE,n_POHY,n_PRCL,n_AGCO,n_LUHY
WW4-4AD-D2,D,DAAE,1,301,WW4,4AD,WW4_4AD,WW,4,AD,Co,2,0,0,1,0,0,0,0
WW4-4BC-C1,C,PHAN,1,612.5,WW4,4BC,WW4_4BC,WW,4,BC,Co,0,2,1,0,0,0,0,0
WW4-4BC-C2,C,PHAN,1,787.5,WW4,4BC,WW4_4BC,WW,4,BC,Co,0,2,1,0,0,0,0,0
WW4-4BD-D1,D,DAAE,1,258,WW4,4BD,WW4_4BD,WW,4,BD,Co,0,2,0,1,0,0,0,0
WW4-4BD-D2,D,DAAE,1,301,WW4,4BD,WW4_4BD,WW,4,BD,Co,0,2,0,1,0,0,0,0
WW4-4CD-C1,C,PHAN,1,1137.5,WW4,4CD,WW4_4CD,WW,4,CD,Co,0,0,1,2,0,0,0,0
WW4-4CD-C2,C,PHAN,0,0,WW4,4CD,WW4_4CD,WW,4,CD,Co,0,0,1,2,0,0,0,0
WW4-4CD-D1,D,DAAE,1,387,WW4,4CD,WW4_4CD,WW,4,CD,Co,0,0,2,1,0,0,0,0
WW4-4CD-D2,D,DAAE,1,430,WW4,4CD,WW4_4CD,WW,4,CD,Co,0,0,2,1,0,0,0,0
WW4-4CE-C1,C,PHAN,0,0,WW4,4CE,WW4_4CE,WW,4,CE,Co,0,0,1,0,2,0,0,0
WW4-4CE-C2,C,PHAN,0,0,WW4,4CE,WW4_4CE,WW,4,CE,Co,0,0,1,0,2,0,0,0
WW4-4CF-C1,C,PHAN,1,525,WW4,4CF,WW4_4CF,WW,4,CF,Co,0,0,1,0,0,2,0,0
WW4-4CF-C2,C,PHAN,1,2187.5,WW4,4CF,WW4_4CF,WW,4,CF,Co,0,0,1,0,0,2,0,0
WW4-4CG-C1,C,PHAN,1,87.5,WW4,4CG,WW4_4CG,WW,4,CG,Co,0,0,1,0,0,0,2,0
WW4-4CG-C2,C,PHAN,1,87.5,WW4,4CG,WW4_4CG,WW,4,CG,Co,0,0,1,0,0,0,2,0
WW4-4CH-C1,C,PHAN,1,350,WW4,4CH,WW4_4CH,WW,4,CH,Co,0,0,1,0,0,0,0,2
WW4-4CH-C2,C,PHAN,1,0,WW4,4CH,WW4_4CH,WW,4,CH,Co,0,0,1,0,0,0,0,2
WW4-4DE-D1,D,DAAE,1,215,WW4,4DE,WW4_4DE,WW,4,DE,Co,0,0,0,1,2,0,0,0
WW4-4DE-D2,D,DAAE,1,258,WW4,4DE,WW4_4DE,WW,4,DE,Co,0,0,0,1,2,0,0,0
WW4-4DF-D1,D,DAAE,1,301,WW4,4DF,WW4_4DF,WW,4,DF,Co,0,0,0,1,0,2,0,0
WW4-4DF-D2,D,DAAE,1,387,WW4,4DF,WW4_4DF,WW,4,DF,Co,0,0,0,1,0,2,0,0
